,Report Date,Report For Date,Total Loads
228,04/06/2015,04/03/2015,674.65
229,03/30/2015,03/27/2015,980.01
230,03/23/2015,03/20/2015,641.84
231,03/16/2015,03/13/2015,660.48
232,03/09/2015,03/06/2015,583.99
233,03/02/2015,02/27/2015,891.68
234,02/23/2015,02/20/2015,631.89
235,02/16/2015,02/13/2015,639.76
236,02/09/2015,02/06/2015,832.96
237,02/02/2015,01/30/2015,524.91
238,01/26/2015,01/23/2015,645.44
239,01/19/2015,01/16/2015,645.83
240,01/12/2015,01/09/2015,841.00
241,01/05/2015,01/02/2015,456.72
242,12/29/2014,12/26/2014,570.51
243,12/22/2014,12/19/2014,636.73
244,12/15/2014,12/12/2014,624.92
245,12/08/2014,12/05/2014,646.85
246,12/01/2014,11/28/2014,453.61
247,11/24/2014,11/21/2014,615.65
248,11/17/2014,11/14/2014,479.03
249,11/10/2014,11/07/2014,666.93
250,11/03/2014,10/31/2014,543.21
251,10/27/2014,10/24/2014,426.54
252,10/20/2014,10/17/2014,713.38
253,10/13/2014,10/10/2014,464.10
254,10/06/2014,10/03/2014,559.32
255,09/29/2014,09/26/2014,370.74
256,09/22/2014,09/19/2014,312.66
257,09/15/2014,09/12/2014,594.43
258,09/08/2014,09/05/2014,376.05
259,09/02/2014,08/29/2014,437.35
260,08/25/2014,08/22/2014,456.29
261,08/18/2014,08/15/2014,421.12
262,08/11/2014,08/08/2014,415.49
263,08/04/2014,08/01/2014,654.36
264,07/28/2014,07/25/2014,273.68
265,07/21/2014,07/18/2014,426.29
266,07/14/2014,07/11/2014,425.65
267,07/07/2014,07/04/2014,352.31
268,06/30/2014,06/27/2014,257.76
269,06/23/2014,06/20/2014,640.80
270,06/16/2014,06/13/2014,404.12
271,06/09/2014,06/06/2014,328.94
272,06/02/2014,05/30/2014,239.38
273,05/27/2014,05/23/2014,554.02
274,05/19/2014,05/16/2014,604.94
275,05/12/2014,05/09/2014,673.59
276,05/05/2014,05/02/2014,577.49
277,04/28/2014,04/25/2014,399.45
278,04/20/2014,04/18/2014,424.10
279,04/14/2014,04/11/2014,"1,015.73"
280,04/07/2014,04/04/2014,796.92
281,03/31/2014,03/28/2014,376.62
282,03/24/2014,03/21/2014,307.41
283,03/17/2014,03/14/2014,385.24
284,03/10/2014,03/07/2014,580.67
285,03/03/2014,02/28/2014,361.86
286,02/24/2014,02/21/2014,696.30
287,02/17/2014,02/14/2014,465.23
288,02/10/2014,02/07/2014,465.37
289,02/03/2014,01/31/2014,434.84
290,01/27/2014,01/24/2014,728.18
291,01/20/2014,01/17/2014,875.00
292,01/13/2014,01/10/2014,529.35
